Date,Hour,Temperature,Humidity,Wind speed,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Partner 1,Partner 2
01/12/2017,0,-5.2,37,2.2,0.0,0.0,Winter,No Holiday,Yes,207,50
01/12/2017,1,-5.5,38,0.8,0.0,0.0,Winter,No Holiday,Yes,139,80
01/12/2017,2,-6.0,39,1.0,0.0,0.0,Winter,No Holiday,Yes,22,140
01/12/2017,3,-6.2,40,0.9,0.0,0.0,Winter,No Holiday,Yes,43,105
01/12/2017,4,-6.0,36,2.3,0.0,0.0,Winter,No Holiday,Yes,59,38
01/12/2017,5,-6.4,37,1.5,0.0,0.0,Winter,No Holiday,Yes,75,98
01/12/2017,6,-6.6,35,1.3,0.0,0.0,Winter,No Holiday,Yes,144,23
01/12/2017,7,-7.4,38,0.9,0.0,0.0,Winter,No Holiday,Yes,394,89
01/12/2017,8,-7.6,37,1.1,0.0,0.0,Winter,No Holiday,Yes,227,626
01/12/2017,9,-6.5,27,0.5,0.0,0.0,Winter,No Holiday,Yes,91,147
01/12/2017,10,-3.5,24,1.2,0.0,0.0,Winter,No Holiday,Yes,338,47
01/12/2017,11,-0.5,21,1.3,0.0,0.0,Winter,No Holiday,Yes,136,198
01/12/2017,12,1.7,23,1.4,0.0,0.0,Winter,No Holiday,Yes,376,216
01/12/2017,13,2.4,25,1.6,0.0,0.0,Winter,No Holiday,Yes,304,396
01/12/2017,14,3.0,26,2.0,0.0,0.0,Winter,No Holiday,Yes,206,284
01/12/2017,15,2.1,36,3.2,0.0,0.0,Winter,No Holiday,Yes,378,439
01/12/2017,16,1.2,54,4.2,0.0,0.0,Winter,No Holiday,Yes,45,139
01/12/2017,17,0.8,58,1.6,0.0,0.0,Winter,No Holiday,Yes,44,424
01/12/2017,18,0.6,66,1.4,0.0,0.0,Winter,No Holiday,Yes,707,217
01/12/2017,19,0.0,77,1.7,0.0,0.0,Winter,No Holiday,Yes,484,433
01/12/2017,20,-0.3,79,1.5,0.0,0.0,Winter,No Holiday,Yes,111,73
01/12/2017,21,-0.8,81,0.8,0.0,0.0,Winter,No Holiday,Yes,37,282
01/12/2017,22,-0.9,83,1.5,0.0,0.0,Winter,No Holiday,Yes,167,306
01/12/2017,23,-1.3,84,1.0,0.0,0.0,Winter,No Holiday,Yes,15,203
02/12/2017,0,-1.8,87,1.1,0.0,0.0,Winter,No Holiday,Yes,199,0
02/12/2017,1,-2.2,86,0.6,0.0,0.0,Winter,No Holiday,Yes,117,14
02/12/2017,2,-2.9,86,1.5,0.0,0.0,Winter,No Holiday,Yes,106,73
02/12/2017,3,-3.5,81,2.2,0.0,0.0,Winter,No Holiday,Yes,41,88
02/12/2017,4,-3.8,79,2.0,0.0,0.0,Winter,No Holiday,Yes,55,0
02/12/2017,5,-4.0,79,1.5,0.0,0.0,Winter,No Holiday,Yes,52,58
