name;align;eye;hair;sex;appearances;first_appearance
Spider-Man (Peter Parker);Добрый персонаж;Карие глаза;Каштановые волосы;Мужской персонаж;4043;1962
Captain America (Steven Rogers);Добрый персонаж;Голубые глаза;Белые волосы;Мужской персонаж;3360;1941
"Wolverine (James \""Logan\"" Howlett)";Нейтральный персонаж;Голубые глаза;Черные волосы;Мужской персонаж;3061;1974
"Iron Man (Anthony \""Tony\"" Stark)";Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;2961;1963
Thor (Thor Odinson);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;2258;1950
Benjamin Grimm (Earth-616);Добрый персонаж;Голубые глаза;Без волос;Мужской персонаж;2255;1961
Reed Richards (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;2072;1961
Hulk (Robert Bruce Banner);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;2017;1962
Scott Summers (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;1955;1963
Jonathan Storm (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;1934;1961
Henry McCoy (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;1825;1963
Susan Storm (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;1713;1961
Namor McKenzie (Earth-616);Нейтральный персонаж;Зеленые глаза;Черные волосы;Мужской персонаж;1528;
Ororo Munroe (Earth-616);Добрый персонаж;Голубые глаза;Белые волосы;Женский персонаж;1512;1975
Clinton Barton (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;1394;1964
Matthew Murdock (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;1338;1964
Stephen Strange (Earth-616);Добрый персонаж;Серые глаза;Черные волосы;Мужской персонаж;1307;1963
Mary Jane Watson (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;1304;1965
John Jonah Jameson (Earth-616);Нейтральный персонаж;Голубые глаза;Черные волосы;Мужской персонаж;1266;1963
Robert Drake (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;1265;1963
Henry Pym (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;1237;1962
Charles Xavier (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;1233;1963
Warren Worthington III (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;1230;1963
Piotr Rasputin (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;1162;1975
Wanda Maximoff (Earth-616);Добрый персонаж;Зеленые глаза;Каштановые волосы;Женский персонаж;1161;1964
Nicholas Fury (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;1137;1963
Janet van Dyne (Earth-616);Добрый персонаж;Голубые глаза;;Женский персонаж;1120;1963
Jean Grey (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;1107;1963
Natalia Romanova (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;1050;1964
Kurt Wagner (Earth-616);Добрый персонаж;Желтые глаза;;Мужской персонаж;1047;1975
Vision (Earth-616);Добрый персонаж;Золотые глаза;Без волос;Мужской персонаж;1007;1968
May Reilly (Earth-616);Добрый персонаж;Голубые глаза;;Женский персонаж;1000;1962
Katherine Pryde (Earth-616);Добрый персонаж;Карие глаза;Каштановые волосы;Женский персонаж;886;1980
Carol Danvers (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;881;1968
Jennifer Walters (Earth-616);Добрый персонаж;Зеленые глаза;Каштановые волосы;Женский персонаж;881;1980
Emma Frost (Earth-616);Нейтральный персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;880;1980
Frank Castle (Earth-616);Нейтральный персонаж;Голубые глаза;Черные волосы;Мужской персонаж;878;1974
Luke Cage (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;856;1972
Rogue (Anna Marie) (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;850;
Conan (Earth-616);Нейтральный персонаж;Голубые глаза;Черные волосы;Мужской персонаж;787;1970
Joseph Robertson (Earth-616);Добрый персонаж;Темно-карие глаза;Белые волосы;Мужской персонаж;752;1967
Pietro Maximoff (Earth-616);Добрый персонаж;Голубые глаза;Серебристые волосы;Мужской персонаж;740;1964
Hercules (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;725;1965
Victor von Doom (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;721;1962
Max Eisenhardt (Earth-616);Нейтральный персонаж;Серые глаза;;Мужской персонаж;709;1963
Elizabeth Braddock (Earth-616);Нейтральный персонаж;Голубые глаза;Фиолетовые волосы;Женский персонаж;708;1976
Norrin Radd (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;696;1966
Norman Osborn (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;692;1964
Eugene Thompson (Earth-616);Добрый персонаж;Голубые глаза;Светло-розовые волосы;Мужской персонаж;689;1962
Simon Williams (Earth-616);Добрый персонаж;Красные глаза;;Мужской персонаж;686;1964
Samuel Guthrie (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;657;1982
James Buchanan Barnes (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;641;1941
Remy LeBeau (Earth-616);Добрый персонаж;Черные глазные яблоки;Каштановые волосы;Мужской персонаж;636;1990
Daniel Rand (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;618;1974
Nathan Summers (Earth-616);Нейтральный персонаж;Голубые глаза;Белые волосы;Мужской персонаж;612;1986
Elizabeth Brant (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;599;1963
Richard Jones (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;590;1962
Edwin Jarvis (Earth-616);Добрый персонаж;Голубые глаза;Белые волосы;Мужской персонаж;567;1964
Alexander Summers (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;558;1969
Patricia Walker (Earth-616);Добрый персонаж;Голубые глаза;;Женский персонаж;550;1944
Human Torch (Android) (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;548;1939
Loki Laufeyson (Earth-616);Нейтральный персонаж;Зеленые глаза;Черные волосы;Гендерфлюидный персонаж;532;1949
Franklin Nelson (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;528;1964
Brian Braddock (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;528;1976
Otto Octavius (Earth-616);Нейтральный персонаж;Карие глаза;Каштановые волосы;Мужской персонаж;526;1963
James Rhodes (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;525;1979
Timothy Dugan (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;517;1963
Crystalia Amaquelin (Earth-616);Добрый персонаж;Зеленые глаза;Светло-розовые волосы;Женский персонаж;512;1965
Samuel Wilson (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;512;1969
Wilson Fisk (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;503;1967
Odin Borson (Earth-616);Нейтральный персонаж;Голубые глаза;Белые волосы;Мужской персонаж;502;1962
Deadpool (Wade Wilson);Нейтральный персонаж;Темно-карие глаза;;Мужской персонаж;500;1991
Dane Whitman (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;478;1967
Harold Osborn (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;474;1965
Franklin Richards (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;473;1968
Jessica Drew (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;471;1977
Roberto da Costa (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;464;1982
Rahne Sinclair (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;448;1982
Elizabeth Ross (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;446;1962
Lorna Dane (Earth-616);Добрый персонаж;Зеленые глаза;Зеленые волосы;Женский персонаж;433;1968
Blaine Colt (Earth-616);;Голубые глаза;Русые волосы;Мужской персонаж;429;
Johnathon Blaze (Earth-616);Добрый персонаж;Голубые глаза;Рыжевато-соломенные волосы;Мужской персонаж;426;1972
Sif (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;422;1964
