respondentID;seen;fan;gender;age_group;income;loc;yoda;princess_leia_organa
3292879998;да;да;М;18-29;;Южно-Атлантический;очень нравится;очень нравится
3292879538;нет;;М;18-29;0 - 24.999;Юго-Западный центральный;;
3292765271;да;нет;М;18-29;0 - 24.999;Северо-Западный центральный;не знаю такого персонажа;нравится
3292763116;да;да;М;18-29;100.000 - 149.999;Северо-Западный центральный;очень нравится;очень нравится
3292731220;да;да;М;18-29;100.000 - 149.999;Северо-Западный центральный;нравится;нравится
3292719380;да;да;М;18-29;25.000 - 49.999;Средне-Атлантический;очень нравится;очень нравится
3292684787;да;да;М;18-29;;Северо-Восточный центральный;очень нравится;нравится
3292663732;да;да;М;18-29;;Южно-Атлантический;очень нравится;очень нравится
3292654043;да;да;М;18-29;0 - 24.999;Южно-Атлантический;нравится;нравится
3292640424;да;нет;М;18-29;25.000 - 49.999;Тихоокеанский;очень нравится;очень нравится
3292637870;да;;;;;;;
3292635062;нет;;;;;;;
3292609214;да;нет;М;18-29;25.000 - 49.999;Южно-Атлантический;очень нравится;нравится
3292596911;да;да;М;30-44;50.000 - 99.999;Горный;очень нравится;очень нравится
3292587240;да;да;М;18-29;;Северо-Восточный центральный;очень нравится;очень нравится
3292583038;да;да;М;18-29;0 - 24.999;Юго-Западный центральный;нравится;нравится
3292580516;да;да;М;18-29;50.000 - 99.999;Новая Англия;очень не нравится;не нравится
3292572872;да;да;М;18-29;;Средне-Атлантический;очень нравится;очень нравится
3292565282;да;да;М;18-29;;Южно-Атлантический;очень нравится;очень нравится
3292562297;да;да;М;18-29;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3292522349;да;да;М;18-29;;Тихоокеанский;очень нравится;нравится
3292521066;да;нет;М;18-29;;Тихоокеанский;отношусь нейтрально;отношусь нейтрально
3292511801;да;да;М;18-29;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3292483200;да;да;М;18-29;0 - 24.999;Тихоокеанский;очень нравится;нравится
3292465491;да;да;М;18-29;;Северо-Восточный центральный;очень нравится;очень нравится
3292447974;нет;;М;18-29;0 - 24.999;Юго-Восточный центральный;;
3292420123;да;да;М;18-29;100.000 - 149.999;Южно-Атлантический;очень нравится;нравится
3292384040;да;да;М;18-29;;Средне-Атлантический;очень нравится;очень нравится
3292380493;да;да;М;18-29;;Средне-Атлантический;очень нравится;отношусь нейтрально
3292376985;да;да;М;18-29;150.000+;Северо-Восточный центральный;очень нравится;очень нравится
3292366792;да;нет;М;30-44;0 - 24.999;Новая Англия;нравится;отношусь нейтрально
3292339379;да;да;М;30-44;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3292330840;да;нет;М;18-29;;Средне-Атлантический;не нравится;не нравится
3292318652;да;нет;М;18-29;50.000 - 99.999;Горный;;
3292297848;нет;;М;30-44;50.000 - 99.999;Юго-Восточный центральный;;
3292290677;да;да;М;30-44;150.000+;Северо-Восточный центральный;очень нравится;очень нравится
3292281095;да;да;М;18-29;0 - 24.999;Северо-Западный центральный;отношусь нейтрально;отношусь нейтрально
3292279889;да;да;М;18-29;;Тихоокеанский;нравится;очень нравится
3292264069;да;да;М;30-44;50.000 - 99.999;Средне-Атлантический;нравится;нравится
3292257520;да;да;М;30-44;0 - 24.999;Северо-Западный центральный;очень нравится;очень нравится
3292249492;да;да;М;30-44;100.000 - 149.999;Средне-Атлантический;очень нравится;очень нравится
3292222729;да;да;М;30-44;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3292221635;да;да;М;18-29;25.000 - 49.999;Северо-Западный центральный;отношусь нейтрально;очень нравится
3292218251;да;да;М;18-29;150.000+;Тихоокеанский;очень нравится;очень нравится
3292214307;да;да;М;18-29;25.000 - 49.999;Новая Англия;нравится;очень нравится
3292210606;да;да;М;18-29;;Северо-Западный центральный;очень нравится;очень нравится
3292202220;нет;;М;18-29;0 - 24.999;Тихоокеанский;;
3292189580;да;да;М;30-44;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3292187343;да;нет;М;18-29;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3292186608;нет;;М;30-44;50.000 - 99.999;Тихоокеанский;;
3292178389;да;да;М;18-29;50.000 - 99.999;Горный;очень нравится;очень нравится
3292176862;да;да;М;18-29;;Южно-Атлантический;очень нравится;нравится
3292173922;да;да;М;30-44;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3292167131;да;да;М;18-29;25.000 - 49.999;Новая Англия;нравится;очень нравится
3292162057;да;да;М;18-29;100.000 - 149.999;Горный;нравится;нравится
3292161407;нет;;М;18-29;;Юго-Западный центральный;;
3292156614;да;да;М;18-29;150.000+;Юго-Западный центральный;очень нравится;очень нравится
3292148570;да;да;М;18-29;50.000 - 99.999;Северо-Западный центральный;нравится;нравится
3292144665;да;да;М;18-29;0 - 24.999;Новая Англия;очень нравится;очень нравится
3292143503;да;нет;М;18-29;50.000 - 99.999;Тихоокеанский;нравится;нравится
3292131636;да;да;М;18-29;150.000+;Тихоокеанский;отношусь нейтрально;очень нравится
3292125068;да;да;М;30-44;100.000 - 149.999;Тихоокеанский;;нравится
3292120160;да;да;М;18-29;100.000 - 149.999;Новая Англия;очень нравится;очень нравится
3292103680;да;да;М;30-44;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3292050153;да;нет;М;18-29;0 - 24.999;Тихоокеанский;нравится;нравится
3292041365;да;да;М;18-29;150.000+;Юго-Восточный центральный;очень нравится;нравится
3292033243;да;да;М;18-29;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3292031637;да;нет;М;18-29;25.000 - 49.999;Юго-Восточный центральный;нравится;очень нравится
3292008762;да;да;М;18-29;25.000 - 49.999;Юго-Восточный центральный;нравится;нравится
3291992352;да;да;М;30-44;100.000 - 149.999;Северо-Западный центральный;очень нравится;очень нравится
3291945498;да;да;М;30-44;50.000 - 99.999;Северо-Западный центральный;нравится;очень нравится
3291940517;да;да;М;18-29;100.000 - 149.999;Северо-Западный центральный;очень нравится;нравится
3291871486;да;да;М;18-29;100.000 - 149.999;Южно-Атлантический;очень нравится;очень нравится
3291778150;да;да;М;18-29;25.000 - 49.999;Средне-Атлантический;очень нравится;очень нравится
3291766314;да;нет;М;30-44;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3291762799;да;да;М;30-44;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3291707153;да;нет;М;30-44;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3291701619;да;да;М;18-29;;Новая Англия;очень нравится;нравится
3291696391;да;да;М;30-44;100.000 - 149.999;Северо-Западный центральный;нравится;очень нравится
3291684768;да;да;М;30-44;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3291669388;да;;;;;;;
3291661584;да;нет;М;> 60;50.000 - 99.999;Южно-Атлантический;нравится;нравится
3291658046;да;да;М;30-44;;Южно-Атлантический;очень нравится;отношусь нейтрально
3291654919;да;да;М;> 60;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3291653882;нет;;М;18-29;50.000 - 99.999;Северо-Восточный центральный;;
3291650311;да;да;М;30-44;25.000 - 49.999;Северо-Восточный центральный;очень нравится;очень нравится
3291649780;нет;;;;;;;
3291648660;нет;;М;> 60;;Северо-Западный центральный;;
3291641416;да;нет;М;> 60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;нравится
3291635934;нет;;М;> 60;25.000 - 49.999;Новая Англия;;
3291634205;да;нет;М;30-44;0 - 24.999;Тихоокеанский;нравится;отношусь нейтрально
3291618031;да;нет;М;18-29;;Средне-Атлантический;очень нравится;нравится
3291603688;нет;;М;18-29;25.000 - 49.999;Северо-Западный центральный;;
3291602842;да;да;М;30-44;50.000 - 99.999;Тихоокеанский;отношусь нейтрально;нравится
3291598188;да;да;М;> 60;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3291588139;да;да;М;> 60;50.000 - 99.999;Юго-Западный центральный;очень нравится;отношусь нейтрально
3291570206;да;;;;;;;
3291548852;да;да;М;30-44;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3291529925;да;да;М;30-44;100.000 - 149.999;Средне-Атлантический;очень нравится;нравится
3291524547;да;нет;М;> 60;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3291502449;да;да;М;> 60;100.000 - 149.999;Южно-Атлантический;нравится;очень нравится
3291497337;да;да;М;> 60;150.000+;Южно-Атлантический;очень нравится;очень нравится
3291482197;да;да;М;30-44;25.000 - 49.999;Южно-Атлантический;очень нравится;нравится
3291476650;нет;;М;30-44;25.000 - 49.999;Северо-Восточный центральный;;
3291470613;нет;;М;30-44;100.000 - 149.999;Средне-Атлантический;;
3291469991;да;;;;;;;
3291468155;да;нет;М;> 60;100.000 - 149.999;Тихоокеанский;нравится;нравится
3291461574;да;да;М;30-44;;Северо-Восточный центральный;очень нравится;нравится
3291455642;да;нет;М;> 60;25.000 - 49.999;Южно-Атлантический;;очень нравится
3291446474;да;нет;М;30-44;50.000 - 99.999;Северо-Восточный центральный;очень нравится;очень нравится
3291446275;да;да;М;30-44;50.000 - 99.999;Средне-Атлантический;нравится;нравится
3291439708;да;да;Ж;> 60;50.000 - 99.999;Южно-Атлантический;нравится;нравится
3291439404;да;нет;Ж;> 60;25.000 - 49.999;Тихоокеанский;нравится;нравится
3291437345;да;нет;М;30-44;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3291435787;да;нет;Ж;30-44;50.000 - 99.999;Южно-Атлантический;нравится;очень нравится
3291435056;нет;;;;;;;
3291433636;да;нет;Ж;30-44;25.000 - 49.999;Юго-Западный центральный;не нравится;очень нравится
3291431939;да;да;Ж;30-44;25.000 - 49.999;Южно-Атлантический;очень нравится;очень нравится
3291430239;нет;;Ж;> 60;25.000 - 49.999;Северо-Восточный центральный;;
3291430193;нет;;;;;;;
3291428174;да;нет;Ж;30-44;50.000 - 99.999;Северо-Восточный центральный;нравится;очень нравится
3291427761;нет;;Ж;30-44;50.000 - 99.999;Южно-Атлантический;;
3291425110;да;да;Ж;30-44;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3291424127;да;да;Ж;> 60;25.000 - 49.999;Южно-Атлантический;очень нравится;очень нравится
3291424006;нет;;Ж;30-44;100.000 - 149.999;Северо-Восточный центральный;;
3291422637;да;нет;Ж;> 60;25.000 - 49.999;Северо-Восточный центральный;очень нравится;нравится
3291421381;нет;;Ж;> 60;100.000 - 149.999;Южно-Атлантический;;
3291420030;да;;;;;;;
3291410155;нет;;Ж;30-44;0 - 24.999;Новая Англия;;
3291405943;да;;;;;;;
3291402264;нет;;М;> 60;25.000 - 49.999;Северо-Восточный центральный;;
3291401326;да;да;М;> 60;25.000 - 49.999;Средне-Атлантический;очень нравится;нравится
3291395512;да;да;Ж;30-44;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3291394022;да;нет;М;45-60;50.000 - 99.999;Южно-Атлантический;очень нравится;нравится
3291391717;нет;;;;;;;
3291391446;да;да;Ж;> 60;25.000 - 49.999;Северо-Восточный центральный;очень нравится;очень нравится
3291391033;нет;;Ж;30-44;25.000 - 49.999;Южно-Атлантический;;
3291390734;нет;;Ж;30-44;50.000 - 99.999;Новая Англия;;
3291388906;нет;;Ж;> 60;;Горный;;
3291388180;да;нет;Ж;> 60;50.000 - 99.999;Средне-Атлантический;очень нравится;очень нравится
3291380973;да;нет;Ж;> 60;25.000 - 49.999;Средне-Атлантический;нравится;нравится
3291378572;да;нет;Ж;> 60;50.000 - 99.999;Средне-Атлантический;нравится;очень нравится
3291375306;да;нет;Ж;30-44;25.000 - 49.999;Южно-Атлантический;очень не нравится;очень не нравится
3291364062;да;да;М;45-60;;Южно-Атлантический;очень нравится;очень нравится
3291345427;да;да;Ж;> 60;100.000 - 149.999;Северо-Восточный центральный;очень нравится;очень нравится
3291341186;да;;;;;;;
3291330710;да;нет;М;30-44;0 - 24.999;Северо-Восточный центральный;очень нравится;нравится
3291327304;да;нет;Ж;30-44;100.000 - 149.999;Южно-Атлантический;нравится;нравится
3291320154;да;да;М;30-44;100.000 - 149.999;Средне-Атлантический;очень нравится;нравится
3291312980;да;нет;Ж;18-29;0 - 24.999;Северо-Западный центральный;очень нравится;нравится
3291290675;нет;;Ж;> 60;50.000 - 99.999;Северо-Восточный центральный;;
3291288174;да;да;Ж;> 60;50.000 - 99.999;Северо-Западный центральный;очень нравится;очень нравится
3291271932;да;нет;Ж;30-44;50.000 - 99.999;Северо-Западный центральный;нравится;нравится
3291267852;да;нет;М;45-60;100.000 - 149.999;Средне-Атлантический;нравится;нравится
3291262515;да;нет;Ж;30-44;50.000 - 99.999;Юго-Западный центральный;очень нравится;нравится
3291233218;да;да;Ж;30-44;;Тихоокеанский;очень нравится;очень нравится
3291206864;да;нет;Ж;18-29;25.000 - 49.999;Тихоокеанский;очень нравится;очень нравится
3291203531;нет;;Ж;18-29;25.000 - 49.999;Северо-Восточный центральный;;
3291184745;да;да;Ж;30-44;50.000 - 99.999;Южно-Атлантический;очень нравится;очень нравится
3291181010;да;нет;М;30-44;0 - 24.999;Тихоокеанский;очень нравится;отношусь нейтрально
3291159863;да;нет;Ж;45-60;;Тихоокеанский;очень нравится;нравится
3291145258;да;нет;Ж;18-29;;Тихоокеанский;очень нравится;очень нравится
3291141478;да;да;Ж;> 60;150.000+;Тихоокеанский;очень нравится;очень нравится
3291139156;да;да;Ж;45-60;;Северо-Западный центральный;очень нравится;очень нравится
3291121359;да;нет;М;45-60;25.000 - 49.999;Южно-Атлантический;очень нравится;очень нравится
3291119656;да;нет;М;30-44;25.000 - 49.999;Горный;нравится;отношусь нейтрально
3291101925;да;нет;Ж;18-29;0 - 24.999;Горный;очень нравится;очень нравится
3291094347;да;нет;Ж;30-44;50.000 - 99.999;Тихоокеанский;очень нравится;очень нравится
3291092094;да;нет;Ж;45-60;25.000 - 49.999;Северо-Восточный центральный;очень нравится;очень нравится
3291077381;да;нет;М;45-60;150.000+;Горный;нравится;отношусь нейтрально
3291075212;да;да;М;30-44;100.000 - 149.999;Юго-Восточный центральный;очень нравится;очень нравится
3291064417;нет;;М;30-44;25.000 - 49.999;Тихоокеанский;;
3291063226;да;да;Ж;18-29;150.000+;Тихоокеанский;очень нравится;очень нравится
3291060156;да;да;Ж;30-44;0 - 24.999;Горный;очень нравится;очень нравится
3291056296;да;да;Ж;18-29;25.000 - 49.999;Северо-Западный центральный;очень нравится;очень нравится
3291052728;да;да;М;45-60;50.000 - 99.999;Юго-Западный центральный;очень нравится;очень нравится
3291051343;да;да;М;45-60;0 - 24.999;Средне-Атлантический;нравится;нравится
3291045360;да;да;М;45-60;;Юго-Восточный центральный;очень нравится;очень нравится
3291043176;да;нет;М;30-44;;Тихоокеанский;нравится;нравится
3291042516;да;нет;Ж;45-60;100.000 - 149.999;Тихоокеанский;очень нравится;очень нравится
3291037640;да;;;;;;;
3291034202;да;да;М;30-44;150.000+;Средне-Атлантический;очень нравится;очень нравится
3291033668;нет;;Ж;18-29;0 - 24.999;Северо-Восточный центральный;;
